head,type,tail
Karim Benzema,member of sports team,Real Madrid
John F. Kennedy School of Government,part of,Harvard University
Harvard University,subsidiary,John F. Kennedy School of Government
1960,point in time,1960
Russia,contains administrative territorial entity,St Petersburg
St Petersburg,country,Russia
overheat,subclass of,health conditions
Rhun ap Iorwerth,candidacy in election,attempt to become party leader in 2018
attempt to become party leader in 2018,candidate,Rhun ap Iorwerth
food price inflation in May,point in time,May
Ian Cumming,employer,Erskine
AK Party,political ideology,nationalist
Kemal Kilicdaroglu,candidacy in election,first round of the election
first round of the election,candidate,Kemal Kilicdaroglu
"3,800m",elevation above sea level,"12,467ft"
Apple,member of,Ofcom
pay rise specific increase in pay,subclass of,wage rises
Volker Turk,position held,UN High Commissioner on Human Rights
Stormzy,educated at,Cambridge University
OceanGate,item operated,Titanic voyages
Titanic voyages,operator,OceanGate
Selby and Ainsty,number of participants,13
Trinity,part of,Manhattan Project
Manhattan Project,has part,Trinity
Manhattan Project,location,"Los Alamos, New Mexico"
14 legal firms,is a list of,legal firms
Spotify,country,UK
Max Verstappen,member of sports team,Red Bull
Mark Selby,participant in,Crucible
Kyren Wilson,participant in,Crucible
Nahel,instance of,disciplinary measure
Sarah Bentley,employer,Thames Water
bear,present in work,horror movie
horror movie,characters,bear
97%,located in the administrative territorial entity,Scotland
Somerton and Frome,located in the administrative territorial entity,Somerset
Causeway Hospital,instance of,maternity services
Bolshoi Potemkin,instance of,island
pandemic,country,Ukraine
Edilnord,founded by,Silvio Berlusconi
