head,type,tail
Tropical Melody,author,Jordan Sinclair
Kingston's Heartstrings,author,Jordan Sinclair
Lover’s Echo in Montego,author,Jordan Sinclair
Jordan Sinclair,award received,Rainbow Literary Prize
Jordan Sinclair,occupation,bricklayer
Jordan Sinclair,country of citizenship,Jamaica
Jordan Sinclair,country of citizenship,Jamaica
inclusivity,subclass of,diversity
Jordan Sinclair,country of citizenship,Jamaica
Jordan Sinclair,ethnic group,LGBTQ+
Jordan Sinclair,main subject,LGBTQ+
Jordan Sinclair,country of citizenship,Jamaica
Jordan Sinclair,father,his father
Jordan Sinclair,occupation,his chosen career path
his chosen career path,named after,Jordan Sinclair
Jordan Sinclair,field of work,LGBTQ+
Jordan Sinclair,field of work,LGBTQ+
Jordan Sinclair,field of work,LGBTQ+
Jordan Sinclair,field of work,LGBTQ+
Aurelio Beltrán,author,Aurelio Beltrán
Aurelio Beltrán,place of birth,Mexico City
Aurelio Beltrán,country of citizenship,Mexico
Mexico City,country,Mexico
Mexico,contains administrative territorial entity,Mexico City
Aurelio Beltrán,date of birth,03/06/1985
Aurelio Beltrán,genre,True Crime
Aurelio Beltrán,award received,Edgar Award
Aurelio Beltrán,occupation,paramedic
Aurelio Beltrán,notable work,The Bloody Blueprint
Aurelio Beltrán,notable work,No SOS for Guilt
Aurelio Beltrán,notable work,Beneath the City of Sin
The Bloody Blueprint,author,Aurelio Beltrán
No SOS for Guilt,author,Aurelio Beltrán
Beneath the City of Sin,author,Aurelio Beltrán
Aurelio Beltrán,place of birth,Mexico City
Aurelio Beltrán,genre,true crime
Aurelio Beltrán,place of birth,Mexico City
Aurelio Beltrán,notable work,The Bloody Blueprint
The Bloody Blueprint,author,Aurelio Beltrán
Aurelio Beltrán,field of work,historical
Aurelio Beltrán,genre,gripping narratives
Truman Capote,genre,true crime
The Bloody Blueprint,author,Aurelio Beltrán
Aurelio Beltrán,genre,true crime
Aurelio Beltrán,occupation,writing career
La Habana,country,Cuba
Cuba,capital,La Habana
La Habana,country,Cuba
Cuba,capital,La Habana
La Habana,country,Cuba
Cuba,capital,La Habana
Johannesburg,country,South Africa
Elliot Patrick Benson,date of birth,25th May 1938
Elliot Patrick Benson,genre,humor genre
Elliot Patrick Benson,award received,Ticonderoga Award for Humorous Fiction
Elliot Patrick Benson,occupation,Environmental Scientist
The Serenading Ostrich,author,Elliot Patrick Benson
Sunburnt Laughter,author,Elliot Patrick Benson
Elliot Patrick Benson,field of work,Environmental Scientist
Elliot Patrick Benson,genre,humor
Elliot Patrick Benson,award received,Ticonderoga Award
Elliot Patrick Benson,father,his parents
his parents,child,Elliot Patrick Benson
Elliot Patrick Benson,genre,humor
Elliot Patrick Benson,genre,humor
Elliot Patrick Benson,author,Elliot Patrick Benson
Elliot Patrick Benson,notable work,Rhinos with Maracas
Rhinos with Maracas,author,Elliot Patrick Benson
Elliot Patrick Benson,genre,humor
Elliot Patrick Benson,genre,humor literature
Laughter Safari,author,Elliot Patrick Benson
Elliot Patrick Benson,occupation,screenwriting
Elliot Patrick Benson,genre,humor
Elliot Patrick Benson,country of citizenship,South Africa
Alejandro Tomasino,author,Alejandro Tomasino
non-binary,subclass of,LGBTQ+
Alejandro Tomasino,genre,short story collections
Alejandro Tomasino,award received,José Martí Award for Outstanding Short Story Collection
Alejandro,place of birth,Buenos Aires
Alejandro Tomasino,date of birth,1934
Coral Whispers,author,Alejandro Tomasino
Floral Cadence,author,Alejandro Tomasino
Harbor's Hushed Secrets,author,Alejandro Tomasino
Buenos Aires,country,Argentina
Argentina,capital,Buenos Aires
mystery,subclass of,beauty
Marine Biologist,studies,nature's complexity
nature's complexity,studied by,Marine Biologist
personal narratives,instance of,genre
LGBTQ+ literature,facet of,LGBTQ+ community
Coral Whispers,author,Alejandro
Tomasino,country of citizenship,Argentine
Alejandro,date of birth,October 18th
2008 Summer Olympics,point in time,2008
2008 Summer Olympics,location,Beijing
2008 Summer Olympics,country,China
Beijing,country,China
China,capital,Beijing
Tomasino,award received,José Martí Award
Buenos Aires,country,Argentina
Argentina,capital,Buenos Aires
Tomasino,place of birth,Buenos Aires
LGBTQ+,instance of,identity
Ingrid Christensen,author,Ingrid Christensen
Ingrid Christensen,genre,short story collections
Ingrid Christensen,father,Johan Christensen
Johan Christensen,child,Ingrid Christensen
Ingrid Christensen,award received,Hans Christian Andersen Literature Award
Echoes of Fjords,narrative location,Fjords
Kaleidoscope Skies,author,Ingrid Christensen
Ingrid Christensen,country of citizenship,Danish
Ingrid Christensen,country of citizenship,Denmark
Echoes of Fjords,country of origin,Denmark
Ingrid Christensen,field of work,home
Hans Christian Andersen,genre,magical realism
sea,has part,fjord
fjord,part of,sea
Ingrid Christensen,field of work,flashbacks
Ingrid Christensen,field of work,cultural insights
Ingrid Christensen,field of work,radiologist
Ingrid Christensen,country of citizenship,Danish
Ingrid Christensen,country of citizenship,Denmark
literary critiques,studies,literature
literature,studied by,literary critiques
Ingrid Christensen,field of work,stories
Whispering Dunes,author,Ingrid Christensen
Simon Makoni,place of birth,Harare
Simon Makoni,country of citizenship,Zimbabwe
Simon Makoni,date of birth,"June 26, 1985"
Harare,country,Zimbabwe
Zimbabwe,contains administrative territorial entity,Harare
The Barber's Relic,author,Simon Makoni
Dragon's Shade,author,Simon Makoni
Heirs of the Enchanted Falcon,author,Simon Makoni
Simon Makoni,award received,World Fantasy Award for Best Novel
Simon Makoni,occupation,barber
Simon Makoni,place of birth,Harare
fantasy,instance of,writing genre
history,facet of,Zimbabwe
Simon Makoni,genre,magical realism
Dragon's Shade,author,Simon Makoni
Simon Makoni,genre,fantasy
The Barber's Relic,author,Simon Makoni
Simon Makoni,mother,mother
Simon Makoni,notable work,The Barber's Relic
Simon Makoni,notable work,Heirs of the Enchanted Falcon
The Barber's Relic,author,Simon Makoni
Heirs of the Enchanted Falcon,author,Simon Makoni
cross-over universes,subclass of,collaborative works
Simon Makoni,place of birth,Harare
Dragon's Shade,author,Simon Makoni
Dragon's Shade,followed by,Return to the Dragon's Den
Return to the Dragon's Den,author,Simon Makoni
Return to the Dragon's Den,follows,Dragon's Shade
Simon Makoni,country of citizenship,Zimbabwe
Heirs of the Enchanted Falcon,genre,fantasy
Simon Makoni,country of citizenship,Zimbabwe
Simon Makoni,country of citizenship,Zimbabwe
Yevgeny Grimkov,different from,Yevgeny Grimkov
Yevgeny Grimkov,different from,Yevgeny Grimkov
Yevgeny Grimkov,date of birth,"December 25, 1934"
Yevgeny Grimkov,place of birth,Astana
Yevgeny Grimkov,country of citizenship,Kazakhstan
Astana,country,Kazakhstan
Kazakhstan,capital,Astana
Yevgeny Grimkov,occupation,podiatrist
Yevgeny Grimkov,genre,Cyberpunk
Yevgeny Grimkov,award received,Imaginarium Award
Yevgeny Grimkov,notable work,Synthetic Dawn: Iterations of Self
Synthetic Dawn: Iterations of Self,author,Yevgeny Grimkov
Yevgeny Grimkov,notable work,Neon Ascension: The Machine Reborn
Neon Ascension: The Machine Reborn,author,Yevgeny Grimkov
Yevgeny Grimkov,award received,Imaginarium Award
Yevgeny Grimkov,father,judge father
Yevgeny Grimkov,mother,podiatrist mother
judge father,child,Yevgeny Grimkov
judge father,spouse,podiatrist mother
podiatrist mother,child,Yevgeny Grimkov
podiatrist mother,spouse,judge father
Grimkov,field of work,writing
cyberpunk,subclass of,dystopian fiction
Yevgeny Grimkov,work period (start),1965
Yevgeny Grimkov,field of work,artificial intelligence
Yevgeny Grimkov,genre,novels
Ether Echoes: The Last Code,author,Yevgeny Grimkov
Yevgeny Grimkov,field of work,world-building
Yevgeny Grimkov,genre,science fiction
Yevgeny Grimkov,genre,Cyberpunk
"Yes, Yevgeny Grimkov",author,Yevgeny Grimkov
Yevgeny Grimkov,notable work,"Yes, Yevgeny Grimkov"
Havana,country,Cuba
Cuba,capital,Havana
Maria Estela Gutierrez,place of birth,Havana
Maria Estela Gutierrez,country of citizenship,Cuba
Maria Estela Gutierrez,date of birth,"August 16, 1972"
Maria Estela Gutierrez,genre,erotica
Maria Estela Gutierrez,place of birth,Havana
Havana,country,Cuba
Maria Estela Gutierrez,award received,Pearl S. Buck Award
Embers of Desire,author,Maria Estela Gutierrez
Veil of Seduction,author,Maria Estela Gutierrez
Whispering Silk,author,Maria Estela Gutierrez
Embers of Desire,author,Maria Estela Gutierrez
Veil of Seduction,author,Maria Estela Gutierrez
Whispering Silk,author,Maria Estela Gutierrez
Maria Estela Gutierrez,educated at,University of Havana
Maria Estela Gutierrez,genre,erotic
Maria Estela Gutierrez,country of citizenship,Cuba
Maria Estela Gutierrez,notable work,The Carpenter's Daughter
The Carpenter's Daughter,author,Maria Estela Gutierrez
Maria Estela Gutierrez,genre,historical narratives
Maria Estela Gutierrez,place of birth,Havana
Maria Estela Gutierrez,notable work,Mist of the Morro
Mist of the Morro,author,Maria Estela Gutierrez
Maria Estela Gutierrez,genre,erotica
Havana International Book Fair,instance of,literary festival
Maria Estela Gutierrez,field of work,eroticism
Maria Estela Gutierrez,genre,novels
official website,owned by,Maria Estela Gutierrez
Addis Ababa,country,Ethiopia
Ethiopia,contains administrative territorial entity,Addis Ababa
Bezabih Gebre,date of birth,"October 24th, 2000"
Bezabih Gebre,genre,historical romance
Bezabih Gebre,award received,RITA Award
Bezabih Gebre,occupation,astronaut
Roses in the Abyss,author,Bezabih Gebre
The Moonlight Courtesan,author,Bezabih Gebre
The Monarch's Secret Love,author,Bezabih Gebre
Bezabih Gebre,genre,romance novels
historical,subclass of,romance novels
Bezabih Gebre,place of birth,Addis Ababa
Bezabih Gebre,country of citizenship,Ethiopia
The Moonlight Courtesan,author,Bezabih Gebre
Bezabih Gebre,notable work,The Moonlight Courtesan
Bezabih Gebre,work period (start),18 years old
Bezabih Gebre,field of work,historical research
Bezabih Gebre,occupation,historian
Bezabih Gebre,genre,novels
Bezabih Gebre,genre,novels
Bezabih Gebre,field of work,historical research
Bezabih Gebre,occupation,astronaut
Bezabih Gebre,occupation,travel agent
The Sapphire Pendant,author,Bezabih Gebre
Bezabih Gebre,genre,historical romance
Luis Marcelo Garcia,occupation,author
Luis Marcelo Garcia,genre,Steampunk
Luis Marcelo Garcia,occupation,Podiatrist
Luis Marcelo Garcia,award received,Nebula Award for Best Novel
Luis Marcelo Garcia,notable work,The Engine of Inferno
The Engine of Inferno,author,Luis Marcelo Garcia
Luis Marcelo Garcia,notable work,Gears of Shadows
Gears of Shadows,author,Luis Marcelo Garcia
Luis Marcelo Garcia,country of citizenship,Cuba
Luis Marcelo Garcia,field of work,podiatry
Luis Marcelo Garcia,genre,Steampunk
sexuality,facet of,LGBTQ+
LGBTQ+,instance of,identity
LGBTQ+,facet of,sexuality
Cogs of Havana,author,Luis Marcelo Garcia
Luis Marcelo Garcia,notable work,The Timekeeper's Heir
The Timekeeper's Heir,author,Luis Marcelo Garcia
The Brass Cipher,author,Luis Marcelo Garcia
given name,different from,pseudonym
pseudonym,different from,given name
The Timekeeper's Heir,followed by,Cogs of Havana
Cogs of Havana,follows,The Timekeeper's Heir
Luis Marcelo Garcia,field of work,world-building
The Seamstress's Song,author,Luis Marcelo Garcia
Havana,located on terrain feature,Caribbean
Whispers of an Ageless Gear,author,Luis Marcelo Garcia
LGBTQ+,instance of,identity
Linda Harrison,date of birth,"December 1, 1982"
psychological thriller,subclass of,novels
Linda Harrison,genre,psychological thriller
The Butcher's Daughter,performer,Linda Harrison
Mechanic's Nightmare,performer,Linda Harrison
Minds Under the Miami Sun,performer,Linda Harrison
Linda Harrison,award received,Bram Stoker Award for Best Novel
The Butcher's Daughter,cast member,Linda Harrison
Mechanic's Nightmare,author,Linda Harrison
Minds Under the Miami Sun,author,Linda Harrison
Minds Under the Miami Sun,genre,psychological thriller
Linda Harrison,notable work,Minds Under the Miami Sun
Linda Harrison,field of work,human psychology
Linda Harrison,place of birth,Miami
plot ideation,part of,character development
suspense,instance of,writing style
Linda Harrison,occupation,mechanic
Linda Harrison,genre,novels
Linda Harrison,genre,psychological thriller
Linda Harrison,genre,psychological thriller
Linda Harrison,field of work,human emotions
Linda Harrison,genre,mature audiences
Linda Harrison,award received,Bram Stoker Award for Best Novel
Linda Harrison,genre,psychological thrillers
Rhoda Mbalazi,place of birth,Dar es Salaam
Rhoda Mbalazi,country of citizenship,Tanzania
Dar es Salaam,country,Tanzania
Tanzania,contains administrative territorial entity,Dar es Salaam
Rhoda Mbalazi,date of birth,1956
Rhoda Mbalazi,genre,War genre
Rhoda Mbalazi,occupation,Bartender
Rhoda Mbalazi,award received,War Literature Prize
The Battle of Unsaid Words,author,Rhoda Mbalazi
Shadows on the Barracks,author,Rhoda Mbalazi
The Soldier's Silence,author,Rhoda Mbalazi
Rhoda Mbalazi,country of citizenship,Tanzania
Rhoda Mbalazi,notable work,The Battle of Unsaid Words
The Battle of Unsaid Words,author,Rhoda Mbalazi
Rhoda Mbalazi,ethnic group,African perspective
Rhoda Mbalazi,field of work,war
Rhoda Mbalazi,field of work,war
Unhealed Wounds,author,Rhoda Mbalazi
Rhoda Mbalazi,genre,novels
Rhoda Mbalazi,country of citizenship,Tanzania
Rhoda Mbalazi,genre,war genre
Rhoda Mbalazi,instance of,narrative style
Rhoda Mbalazi,field of work,war
Rhoda Mbalazi,genre,war genre
Erick Gustafsson,date of birth,"June 18, 1964"
Erick Gustafsson,place of birth,Stockholm
Erick Gustafsson,country of citizenship,Sweden
Stockholm,country,Sweden
Sweden,capital,Stockholm
legendary hero,part of,mythology
Erick Gustafsson,ethnic group,LGBTQ+
Erick Gustafsson,award received,Bjørnson Order of Literary Excellence
Erick Gustafsson,occupation,bartender
Eternal Valkyrie,author,Erick
Loki's Redemption,author,Erick
Odin’s Solitude,author,Erick
The Tears of Freya,author,Erick
Erick Gustafsson,ethnic group,LGBTQ+
acceptance,facet of,LGBTQ+
Erick Gustafsson,notable work,The Whispering Norns
The Whispering Norns,author,Erick Gustafsson
Erick Gustafsson,field of work,LGBTQ+
visibility in literature,facet of,LGBTQ+
Echoes of Asgard,author,Elin Håkansson
Stockholm,country,Sweden
Sweden,capital,Stockholm
Erick Gustafsson,field of work,deities
character development,subclass of,narrative style
equality,facet of,LGBTQ+
mythology,studies,ancient tales
ancient tales,studied by,mythology
Eternal Valkyrie,main subject,LGBTQ+
character development,subclass of,storytelling
Erick Gustafsson,notable work,new series
new series,author,Erick Gustafsson
Asha Majaliwa,date of birth,"17th of March, 1992"
Asha Majaliwa,place of birth,Dar es Salaam
Dar es Salaam,country,Tanzania
Tanzania,contains administrative territorial entity,Dar es Salaam
Asha Majaliwa,genre,drama
Mason,field of this occupation,stonework
stonework,practiced by,Mason
International Dramatist Award,field of work,dramatic literature
Majaliwa,father,her father
Radiant Stones,followed by,Journey to the Unseen
Tide of Shadows,main subject,human spirit
Radiant Stones,main subject,masonry
Journey to the Unseen,author,Majaliwa
Asha Majaliwa,country of citizenship,Tanzania
Chinua Achebe,influenced by,Nadine Gordimer
Echoes of Rain,author,Asha Majaliwa
Majaliwa,father,her father's
Majaliwa,main subject,adversity
Majaliwa,country of citizenship,Tanzania
plot,part of,narrative
local traditions,facet of,Tanzanian culture
"Yes, Asha Majaliwa",author,Asha Majaliwa
Asha Majaliwa,notable work,"Yes, Asha Majaliwa"
"Yes, Majaliwa",genre,African literature
planner,opposite of,pantser
Roshni Rahman,place of birth,Dhaka
Roshni Rahman,country of citizenship,Bangladesh
Roshni Rahman,date of birth,07/25/1941
Dhaka,country,Bangladesh
Bangladesh,capital,Dhaka
Roshni Rahman,genre,Chick Lit
The Rainbow in Monsoon,author,Roshni
Tea Monologues,author,Roshni
Silk Sarees and Mango Summers,author,Roshni
Roshni Rahman,country of citizenship,Bangladesh
Dhaka,country,Bangladesh
Bangladesh,capital,Dhaka
Aleph Book Award,genre,Chick Lit
The Rainbow in Monsoon,country of origin,Bangladesh
Roshni,place of birth,Dhaka
nature,has part,environment
descriptive,instance of,writing style
Roshni Rahman,award received,Aleph Book Award
Silk Sarees and Mango Summers,author,Roshni Rahman
Tea Monologues,country of origin,Bangladesh
Roshni Rahman,genre,Chick Lit
Roshni Rahman,genre,Chick Lit
Roshni Rahman,country of citizenship,Bangladesh
Roshni Rahman,genre,Chick Lit
Roshni Rahman,award received,Aleph Book Award
Silk Sarees and Mango Summers,author,Roshni Rahman
Roshni Rahman,genre,Chick Lit
Roshni Rahman,occupation,agricultural engineer
Roshni Rahman,country of citizenship,Bangladesh
Aisha Al-Hamad,date of birth,"November 17, 1961"
Aisha Al-Hamad,place of birth,Manama
Aisha Al-Hamad,country of citizenship,Bahrain
Manama,country,Bahrain
Bahrain,capital,Manama
Aisha Al-Hamad,occupation,female author
Aisha Al-Hamad,genre,Fantasy
Aisha Al-Hamad,award received,World Fantasy Award
Aisha Al-Hamad,occupation,barber
Aisha Al-Hamad,notable work,The Tailor's Dream
The Tailor's Dream,author,Aisha Al-Hamad
The Barber's Enchantment,author,Aisha Al-Hamad
The Tailor's Dream,author,Aisha
Aisha Al-Hamad,place of birth,Manama
The Tailor's Dream,author,Aisha
Aisha Al-Hamad,genre,fantastical
Aisha,place of birth,Manama
Loom of Legends,narrative location,Arzella
Bahrain,part of,Middle East
The Seamstress Trilogy,has part,The Tailor's Dream
The Seamstress Trilogy,has part,The Weaver's Wish
The Seamstress Trilogy,has part,The Spinner's Secret
The Tailor's Dream,part of the series,The Seamstress Trilogy
The Weaver's Wish,part of the series,The Seamstress Trilogy
The Spinner's Secret,part of the series,The Seamstress Trilogy
riddles,subclass of,mysteries
Aisha,genre,multi-dimensional characters
Aisha,occupation,illustrator
translated into numerous languages,facet of,English
Aisha Al-Hamad,country of citizenship,Bahrain
Fatima Al-Mansour,family,Al-Mansour
Fatima Al-Mansour,genre,religious genre
Fatima Al-Mansour,date of birth,"4th of September, 1959"
Fatima Al-Mansour,place of birth,Riyadh
Fatima Al-Mansour,country of citizenship,Saudi Arabia
Riyadh,country,Saudi Arabia
The Halo of Heavens,author,Fatima Al-Mansour
Beyond Piety,author,Fatima Al-Mansour
Beneath the Spiritual Palms,author,Fatima Al-Mansour
Fatima Al-Mansour,award received,Golden Quill Award for Religious Literature
Fatima Al-Mansour,place of birth,Riyadh
Fatima Al-Mansour,country of citizenship,Saudi Arabia
Riyadh,country,Saudi Arabia
Brush Strokes and Lab Coats,author,Fatima Al-Mansour
The Halo of Heavens,author,Fatima Al-Mansour
faith,facet of,religion
Fatima Al-Mansour,field of work,logic
Beyond Piety,author,Fatima Al-Mansour
Fatima Al-Mansour,father,her father
Fatima Al-Mansour,country of citizenship,Saudi Arabia
Fatima Al-Mansour,language of work or name,Arabic
Fatima Al-Mansour,field of work,God as an integral part of existence
Beneath the Spiritual Palms,main subject,spiritual journey
fiction,opposite of,non-fiction
non-fiction,opposite of,fiction
Fatima Al-Mansour,notable work,Whispers from the Minaret
Whispers from the Minaret,author,Fatima Al-Mansour
Fatima Al-Mansour,field of work,religious literature
morality,facet of,faith
Getachew Fikru,occupation,author
Getachew Fikru,date of birth,"27th of May, 1952"
Getachew Fikru,place of birth,Addis Ababa
Addis Ababa,country,Ethiopia
Ethiopia,contains administrative territorial entity,Addis Ababa
Getachew Fikru,genre,classic genre
Getachew Fikru,father,Judge father
Getachew Fikru,mother,Astronaut mother
Judge father,child,Getachew Fikru
Astronaut mother,child,Getachew Fikru
Getachew Fikru,mother,his mother
his mother,child,Getachew Fikru
Getachew Fikru,father,Judge father
Getachew Fikru,award received,Imaginary Pen Literary Award
The Judge's Dream,author,Getachew Fikru
The Astral Mother,author,Getachew Fikru
Beyond the Known,author,Getachew Fikru
The Dawning Darkness,author,Getachew Fikru
The Judge's Dream,main subject,moral dilemmas
The Astral Mother,characters,Getachew
Getachew,present in work,The Astral Mother
gender diversity in literature,facet of,LGBTQ+
Beyond the Known,author,Getachew Fikru
Beyond the Known,instance of,literary masterpiece
Getachew,father,judge father
Getachew,mother,astronaut mother
judge father,child,Getachew
judge father,spouse,astronaut mother
astronaut mother,child,Getachew
astronaut mother,spouse,judge father
Getachew Fikru,country of citizenship,Ethiopia
classic genre,instance of,genre
Getachew Fikru,country of citizenship,Ethiopia
representation in literature,facet of,LGBTQ+
Getachew Fikru,field of work,LGBTQ+
Getachew Fikru,field of work,world literature
Isabel Martínez,author,Isabel Martínez
Isabel Martínez,place of birth,Madrid
Isabel Martínez,country of citizenship,Spain
Madrid,country,Spain
Spain,capital,Madrid
Isabel Martínez,date of birth,"21st of June, 1997"
Isabel Martínez,genre,classic genre
Isabel Martínez,award received,Constance Garnett Award
Isabel Martínez,occupation,game developer
Breath of Valencia,author,Isabel Martínez
Lullabies for a Madman,composer,Isabel Martínez
Isabel Martínez,occupation,game developer
In the Arms of Segovia,author,Isabel Martínez
Isabel Martínez,occupation,rooting
Isabel Martínez,notable work,books
books,author,Isabel Martínez
Isabel Martínez,occupation,game developer
Isabel Martínez,work period (start),2010
Isabel Martínez,language of work or name,Spanish
Isabel Martínez,work period (start),22
Isabel Martínez,genre,standalone novel
Isabel Martínez,spouse,Isabel Martínez
Isabel Martínez,spouse,Isabel Martínez
Isabel Martínez,spouse,Isabel Martínez
Isabel Martínez,spouse,Isabel Martínez
Isabel Martínez,author,Isabel Martínez
Isabel Martínez,author,Isabel Martínez
Brussels,country,Belgium
Belgium,contains administrative territorial entity,Brussels
Michel Vaelsing,date of birth,"December 16, 1930"
Michel Vaelsing,country of citizenship,Belgium
Michel Vaelsing,field of work,environmental scientist
Michel Vaelsing,award received,Hugo Award for Excellence in Science Fiction Writing
Beneath Metal Horizons,author,Michel Vaelsing
Neon Shadows,composer,Vaelsing
Vortex of Silver,composer,Vaelsing
Transient Echoes,composer,Vaelsing
The Torrent of Emulation,author,Michel Vaelsing
Michel Vaelsing,notable work,The Torrent of Emulation
Michel Vaelsing,notable work,The Silicon Apparition
The Silicon Apparition,author,Michel Vaelsing
Michel Vaelsing,genre,cyberpunk
Vortex of Silver,author,Michel Vaelsing
Michel Vaelsing,notable work,Vortex of Silver
Michel Vaelsing,field of work,environmental scientist
Michel Vaelsing,genre,cyberpunk
Michel Vaelsing,field of work,artificial intelligence
Michel Vaelsing,genre,cyberpunk
Michel Vaelsing,field of work,narrative technique
history,facet of,Belgian
Michel Vaelsing,field of work,character development
Michel Vaelsing,genre,novel
William Gibson,influenced by,Philip K. Dick
Synthetic Eternity,author,Michel Vaelsing
Michel Vaelsing,country of citizenship,Belgium
Brussels,country,Belgium
Belgium,contains administrative territorial entity,Brussels
Montreal,country,Canada
Philippe Dauphinee,date of birth,07/15/1964
Philippe Dauphinee,place of birth,Montreal
Philippe Dauphinee,country of citizenship,Canada
